Order_ID,Item_ID,Artist_ID,User_ID,Time_ID,Location_ID,Quantity,Gross_Rev,Bandcamp_Cut,Artist_Revenue
1599688803.5175&//girlbanddublin.bandcamp.com/album/live-at-vicar-street,ITM-3F13430D,ART-08BDE1AC,USR-103,20200909,LOC-7885444A,1,9.99,1.5,8.49
1599688805.27838&//maharettarecords.bandcamp.com/album/neurogen,ITM-54294AF1,ART-A1C6EC60,USR-436,20200909,LOC-75778BF8,1,1.3,0.2,1.1
1599688805.90646&//maharettarecords.bandcamp.com/album/the-last-snare-bender-2,ITM-FE0D85E3,ART-48DFDF52,USR-349,20200909,LOC-75778BF8,1,3.9,0.58,3.32
1599688806.94234&//alicesitski.bandcamp.com/album/white-noise-tv,ITM-9ED260E3,ART-8088FA59,USR-271,20200909,LOC-7885444A,1,12.39,1.24,11.15
1599688809.07942&//linguaignota.bandcamp.com/track/o-ruthless-great-divine-director,ITM-12EC2E40,ART-7AC5CA41,USR-107,20200909,LOC-0B3B97FA,1,1.0,0.15,0.85
1599688812.69267&//sofiefatouretchi.bandcamp.com/track/try-to-reach-me,ITM-726E7254,ART-D8C5EBED,USR-72,20200909,LOC-0B3B97FA,1,1.29,0.19,1.1
1599688813.89375&//plexitofer.bandcamp.com/album/the-new-anime-groove-collection,ITM-6D1B56EB,ART-CFEC435C,USR-189,20200909,LOC-55ADD3D8,1,1.0,0.15,0.85
1599688817.63138&//haroldbudd.bandcamp.com/album/the-white-arcades,ITM-8D6CF205,ART-1FC7E102,USR-21,20200909,LOC-5F02F088,1,6.5,0.98,5.52
1599688823.53451&//favoriterecordings.bandcamp.com/track/better-day-hard-soul-mix,ITM-E7A91EA0,ART-06D701B8,USR-103,20200909,LOC-D88FC6ED,1,2.35,0.35,2.0
1599688825.93404&//amandapalmer.bandcamp.com/track/its-a-fire,ITM-F135A1D5,ART-73D37961,USR-122,20200909,LOC-0B3B97FA,1,1.0,0.15,0.85
1599688835.15601&//thecaptaincreolecollection.bandcamp.com/album/the-ochre-demos-and-designs,ITM-E02EAF58,ART-DAA473B1,USR-467,20200909,LOC-7885444A,1,9.09,1.36,7.7299999999999995
1599688836.80575&//linguaignota.bandcamp.com/track/jolene,ITM-C2DDB5C4,ART-7AC5CA41,USR-215,20200909,LOC-0B3B97FA,1,1.0,0.15,0.85
1599688836.87656&//linguaignota.bandcamp.com/track/wicked-game,ITM-9F991FE1,ART-7AC5CA41,USR-331,20200909,LOC-0B3B97FA,1,2.99,0.45,2.54
1599688837.10089&//cookinsoul.bandcamp.com/album/larry-june-x-cookin-soul-orange-season-ep,ITM-4EE60F6B,ART-8CF2879F,USR-459,20200909,LOC-0B3B97FA,1,8.26,1.24,7.02
1599688845.11123&//kindischoffical.bandcamp.com/album/zoi-ca-prisms-ep,ITM-8738EB96,ART-28D4D412,USR-88,20200909,LOC-5435C69E,1,2.36,0.35,2.01
1599688845.11818&//stephenpaultaylor.bandcamp.com/track/shits-fucked,ITM-C16D264D,ART-29A90BF1,USR-373,20200909,LOC-0B3B97FA,1,1.99,0.3,1.69
1599688845.66974&//kindischoffical.bandcamp.com/track/death-on-the-balcony-para-ser-libre,ITM-9D2B0A7A,ART-7065C618,USR-100,20200909,LOC-5435C69E,1,2.36,0.35,2.01
1599688848.21811&//darcie.bandcamp.com/track/silence,ITM-880A7EF2,ART-777AAE29,USR-360,20200909,LOC-7885444A,1,1.3,0.2,1.1
1599688852.06918&//shellarecords.bandcamp.com/album/jamaican-fruit-of-african-roots-ep,ITM-30A9EC02,ART-CC4FA7E6,USR-152,20200909,LOC-5435C69E,1,10.0,1.5,8.5
1599688865.13856&//unreqvited-northernsilence.bandcamp.com/album/empathica,ITM-DFA096EC,ART-8F7DA2C8,USR-131,20200909,LOC-82A9E4D2,1,16.41,1.64,14.77
1599688868.46945&//plushorganics.bandcamp.com/album/dregs-in-bloom,ITM-C14D835F,ART-A9D098D4,USR-150,20200909,LOC-7885444A,1,2.0,0.3,1.7
1599688869.06688&//flasherdc.bandcamp.com/album/winnie-b-w-burn-blue-2,ITM-A51C485C,ART-81FBEAE1,USR-309,20200909,LOC-0B3B97FA,1,2.0,0.3,1.7
1599688869.28855&//flasherdc.bandcamp.com/album/s-t-ep-2,ITM-864095A0,ART-81FBEAE1,USR-258,20200909,LOC-0B3B97FA,1,7.0,1.05,5.95
1599688870.0492&//boxbedroomrebels.bandcamp.com/album/bbr-36-ciel-movement-6-track-ep,ITM-268D6EAC,ART-BDCCDD5B,USR-344,20200909,LOC-7885444A,1,7.15,0.72,6.430000000000001
1599688871.02832&//bcee.bandcamp.com/album/life-as-we-know-it,ITM-91C5BF31,ART-A7745C3F,USR-492,20200909,LOC-5F02F088,1,25.97,2.6,23.369999999999997
1599688875.25304&//fatigo.bandcamp.com/track/unruly-gentleman-bonus-track,ITM-AB6E6A67,ART-83D95028,USR-414,20200909,LOC-0B3B97FA,1,1.0,0.15,0.85
1599688875.84356&//briangrainger.bandcamp.com/album/poured-out,ITM-21C52451,ART-F592FAD5,USR-294,20200909,LOC-0B3B97FA,1,12.0,1.2,10.8
1599688875.89556&//blaublauband.bandcamp.com/album/kiss-kiss,ITM-C8719336,ART-991A6DE9,USR-386,20200909,LOC-0B3B97FA,1,5.0,0.75,4.25
1599688876.4084&//mogwai.bandcamp.com/album/2018,ITM-84DDFB34,ART-B5A275FD,USR-192,20200909,LOC-7885444A,1,12.99,1.95,11.040000000000001
1599688883.61376&//tvgirl.bandcamp.com/album/french-exit,ITM-95A77F5A,ART-09DBD3DC,USR-444,20200909,LOC-0B3B97FA,1,20.0,2.0,18.0
1599688886.70388&//ppudc.bandcamp.com/track/omae,ITM-AD5635B6,ART-376D34EF,USR-277,20200909,LOC-7885444A,1,3.0,0.45,2.55
1599688888.96698&//starsofthelid.bandcamp.com/album/per-aspera-ad-astra,ITM-9711E7A3,ART-3DC81139,USR-161,20200909,LOC-0B3B97FA,1,9.0,1.35,7.65
1599688890.68525&//nubyagarcia.bandcamp.com/album/source,ITM-810BD681,ART-ED6EAC18,USR-460,20200909,LOC-0B3B97FA,1,30.0,3.0,27.0
1599688890.96119&//ragana.bandcamp.com/merch/dark-woods-tshirt,ITM-4EA6277E,ART-C861B188,USR-314,20200909,LOC-0B3B97FA,1,15.0,1.5,13.5
1599688892.53879&//smartsworld.bandcamp.com/album/who-needs-smarts-anyway,ITM-8AE0FADB,ART-8DDF025C,USR-22,20200909,LOC-8BCC25C9,1,20.36,2.04,18.32
1599688895.10862&//shlohmo.bandcamp.com/album/heaven-inc-ep,ITM-02665B3B,ART-24DC96E3,USR-253,20200909,LOC-0B3B97FA,1,13.0,1.3,11.7
1599688905.75448&//themountaingoats.bandcamp.com/album/transcendental-youth,ITM-E940688F,ART-DFA95A98,USR-236,20200909,LOC-7885444A,1,8.0,1.2,6.8
1599688907.40035&//al3movement.bandcamp.com/album/black-ops-ep,ITM-C152FEA8,ART-7F38926E,USR-345,20200909,LOC-C582DEC9,1,200.0,30.0,170.0
1599688909.77612&//askillz.bandcamp.com/track/staying-alive-a-skillz-remix,ITM-E7D214D9,ART-40358C2B,USR-49,20200909,LOC-0B3B97FA,1,1.3,0.2,1.1
1599688910.03707&//djkmell.bandcamp.com/track/gala-freed-from-desire-summer-remix,ITM-62359886,ART-92F7D0FE,USR-475,20200909,LOC-0D149B90,1,2.36,0.35,2.01
1599688910.23003&//djkmell.bandcamp.com/track/barry-white-cant-get-enough-of-your-love-babe-kmell-re-loved-2020,ITM-E32BCF6F,ART-92F7D0FE,USR-59,20200909,LOC-0D149B90,1,3.54,0.53,3.01
1599688910.24464&//djkmell.bandcamp.com/track/kool-the-gang-straight-ahead-kmell-rework-2020,ITM-AE69DDE2,ART-92F7D0FE,USR-170,20200909,LOC-0D149B90,1,3.54,0.53,3.01
1599688910.44492&//djkmell.bandcamp.com/track/change-a-lovers-holiday-kmell-reedit-2020,ITM-42CB394F,ART-92F7D0FE,USR-476,20200909,LOC-0D149B90,1,2.36,0.35,2.01
1599688910.56721&//djkmell.bandcamp.com/track/kurtis-blow-the-breaks-kmell-remix-2020,ITM-4EF148E6,ART-92F7D0FE,USR-188,20200909,LOC-0D149B90,1,2.36,0.35,2.01
1599688910.61406&//djkmell.bandcamp.com/track/gloria-estefan-conga-kmell-re-cong-2020,ITM-25784DF4,ART-92F7D0FE,USR-464,20200909,LOC-0D149B90,1,2.95,0.44,2.5100000000000002
1599688910.72272&//djkmell.bandcamp.com/track/lisa-stanfield-the-real-thing-kmell-rework-2020,ITM-FA79F10D,ART-92F7D0FE,USR-271,20200909,LOC-0D149B90,1,2.36,0.35,2.01
1599688910.80711&//djkmell.bandcamp.com/track/kim-carnes-bettes-davis-eyes-kmell-re-tide-2020,ITM-9C60AF10,ART-92F7D0FE,USR-190,20200909,LOC-0D149B90,1,2.95,0.44,2.5100000000000002
1599688914.0554&https://music.dandywarhols.com/album/warhol-wednesday-endless-live-album,ITM-C75784F8,ART-72171BB9,USR-446,20200909,LOC-0B3B97FA,1,10.0,1.5,8.5
1599688915.653&//mandolinorange.bandcamp.com/album/austin-city-limits-live-at-the-moody-theater-3,ITM-0E07CA5E,ART-CFA2B5C4,USR-175,20200909,LOC-0B3B97FA,1,40.0,4.0,36.0
1599688916.06573&//officialastarinite.bandcamp.com/album/until-the-end-of-the-moon,ITM-27D99B9D,ART-9C79AF85,USR-446,20200909,LOC-12470FE4,1,1.0,0.15,0.85
1599688916.55951&//godcolony.bandcamp.com/track/turn-my-g-down-feat-stash-marina,ITM-A63F1018,ART-D6C7FC87,USR-51,20200909,LOC-0D149B90,1,1.95,0.29,1.66
1599688919.08886&//cratesmotelrecords.bandcamp.com/track/pat-metheenee-slip-away-conan-liquid-crates-motel-remix,ITM-83D099B1,ART-89FD9E3C,USR-364,20200909,LOC-0D149B90,1,3.12,0.47,2.6500000000000004
1599688919.17168&//alanbraufman.bandcamp.com/album/the-fire-still-burns,ITM-10D18E5C,ART-3FC1CDFB,USR-55,20200909,LOC-0B3B97FA,1,10.0,1.5,8.5
1599688919.22949&//cratesmotelrecords.bandcamp.com/track/elton-jon-are-you-ready-for-love-conan-liquid-reel-to-reel-re-re-re-edit,ITM-C52DFCA3,ART-89FD9E3C,USR-244,20200909,LOC-0D149B90,1,1.56,0.23,1.33
1599688919.3997&//cratesmotelrecords.bandcamp.com/track/jamirokwai-too-young-to-die-conan-liquid-reel-to-reel-re-re-re-edit,ITM-11CEF8E5,ART-89FD9E3C,USR-320,20200909,LOC-0D149B90,1,3.12,0.47,2.6500000000000004
1599688919.5047&//cratesmotelrecords.bandcamp.com/track/alicia-i-want-to-thank-you-conan-liquid-crates-motel-naughty-but-splice-edit,ITM-823B41B8,ART-89FD9E3C,USR-131,20200909,LOC-0D149B90,1,1.56,0.23,1.33
1599688919.93334&//cratesmotelrecords.bandcamp.com/track/jan-jacksun-when-i-think-of-you-conan-liquid-reel-to-reel-re-re-re-edit,ITM-AE412F76,ART-89FD9E3C,USR-485,20200909,LOC-0D149B90,1,1.56,0.23,1.33
1599688924.0009&//dieorakel.bandcamp.com/track/big-cabin,ITM-679BA506,ART-7EEF34D0,USR-307,20200909,LOC-D88FC6ED,1,3.54,0.53,3.01
1599688925.07075&//chrisgs1.bandcamp.com/track/the-power-chris-gs-edit,ITM-F51EA8E7,ART-9DEB1288,USR-135,20200909,LOC-0D149B90,1,8.26,1.24,7.02
1599688925.18235&//chrisgs1.bandcamp.com/track/bim-sala-bim-chris-gs-edit,ITM-70BA588F,ART-9DEB1288,USR-21,20200909,LOC-0D149B90,1,8.26,1.24,7.02
1599688925.31333&//chrisgs1.bandcamp.com/track/mirage-chris-gs-edit,ITM-91D9DD79,ART-9DEB1288,USR-329,20200909,LOC-0D149B90,1,10.62,1.59,9.03
1599688925.39068&//chrisgs1.bandcamp.com/track/the-captain-of-her-heart-chris-gs-edit,ITM-79122029,ART-9DEB1288,USR-167,20200909,LOC-0D149B90,1,23.6,3.54,20.060000000000002
1599688925.39795&//chuwanaga.bandcamp.com/merch/in-the-red-vol-1-2-vinyl-bundle,ITM-0196CED0,ART-63735DAE,USR-274,20200909,LOC-7885444A,1,35.41,3.54,31.869999999999997
1599688925.4526&//chrisgs1.bandcamp.com/track/electrica-salsa-chris-gs-edit,ITM-53DE4ECF,ART-9DEB1288,USR-388,20200909,LOC-0D149B90,1,7.67,1.15,6.52
1599688925.54091&//chrisgs1.bandcamp.com/track/what-a-wonderful-world-chris-gs-edit,ITM-B3619463,ART-9DEB1288,USR-89,20200909,LOC-0D149B90,1,2.95,0.44,2.5100000000000002
